user_id,country,signup_date,device,experiment_group
1,Canada,2025-02-21,android,
2,Germany,2025-01-15,ios,
3,India,2025-03-13,android,B
4,Brazil,2025-03-02,android,
5,USA,2025-01-21,web,B
6,UK,2025-03-24,ios,
7,Canada,2025-03-28,android,
8,Australia,2025-03-16,android,
9,Australia,2025-03-16,ios,
10,USA,2025-03-29,ios,
11,Germany,2025-01-24,ios,
12,UK,2025-01-03,ios,
13,Canada,2025-01-22,ios,A
14,India,2025-02-22,ios,
15,Australia,2025-01-02,ios,
16,Canada,2025-03-29,android,
17,UK,2025-01-30,web,
18,Canada,2025-02-07,android,
19,Canada,2025-01-02,android,B
20,Australia,2025-03-05,web,B
21,India,2025-03-01,web,
22,Brazil,2025-01-21,web,
23,Australia,2025-02-02,ios,A
24,Canada,2025-03-17,ios,A
25,Brazil,2025-02-27,ios,
26,Canada,2025-01-22,android,
27,Australia,2025-03-30,web,
28,Canada,2025-02-18,web,
29,Brazil,2025-02-28,android,
30,Brazil,2025-02-11,ios,
31,Australia,2025-03-01,web,
32,Australia,2025-03-21,android,
33,Australia,2025-01-15,ios,A
34,Canada,2025-03-03,android,A
35,Brazil,2025-03-03,ios,
36,UK,2025-02-16,android,A
37,India,2025-03-03,ios,B
38,Brazil,2025-02-20,android,
39,Brazil,2025-02-24,android,A
40,India,2025-03-05,android,
41,Australia,2025-01-03,android,
42,UK,2025-02-20,web,B
43,Canada,2025-01-07,web,
44,Australia,2025-01-21,web,
45,Brazil,2025-03-14,web,
46,Canada,2025-02-08,android,
47,Canada,2025-01-18,web,B
48,Australia,2025-01-04,web,
49,UK,2025-03-30,android,
50,Brazil,2025-03-01,web,
51,UK,2025-01-14,web,
52,Canada,2025-01-09,ios,
53,Germany,2025-03-31,web,
54,Brazil,2025-02-22,ios,
55,Brazil,2025-01-02,web,A
56,Canada,2025-03-25,android,
57,Canada,2025-03-01,web,A
58,Canada,2025-03-12,android,
59,USA,2025-02-13,web,
60,Australia,2025-01-08,web,A
61,USA,2025-02-16,android,
62,Australia,2025-02-04,android,
63,Canada,2025-03-19,android,
64,Canada,2025-03-22,android,
65,Canada,2025-02-05,ios,
66,UK,2025-02-19,ios,B
67,USA,2025-01-04,android,
68,UK,2025-01-02,ios,
69,Brazil,2025-01-06,web,
70,Brazil,2025-02-23,web,
71,Canada,2025-01-04,web,A
72,Germany,2025-02-23,ios,A
73,Germany,2025-03-04,ios,
74,USA,2025-01-18,web,
75,Canada,2025-03-31,android,
76,Canada,2025-02-13,web,
77,Brazil,2025-02-03,ios,
78,UK,2025-03-15,web,A
79,USA,2025-03-03,web,
80,Germany,2025-01-14,ios,
81,India,2025-02-17,ios,
82,UK,2025-01-15,ios,
83,Canada,2025-03-13,ios,
84,India,2025-03-19,web,
85,USA,2025-03-28,ios,
86,USA,2025-03-03,android,
87,India,2025-02-09,ios,
88,USA,2025-03-26,ios,
89,USA,2025-03-21,web,B
90,Brazil,2025-03-23,android,B
91,Canada,2025-02-22,android,
92,UK,2025-01-24,android,
93,Germany,2025-01-26,ios,
94,Canada,2025-03-30,web,
95,Brazil,2025-03-01,web,
96,USA,2025-02-10,ios,
97,Germany,2025-01-29,android,
98,USA,2025-01-15,android,
99,Canada,2025-02-14,web,
100,UK,2025-03-06,ios,
101,USA,2025-03-30,android,
102,India,2025-03-12,ios,B
103,India,2025-01-09,web,
104,India,2025-03-29,ios,
105,India,2025-01-01,ios,
106,Germany,2025-01-08,ios,
107,Canada,2025-03-29,ios,A
108,Australia,2025-03-04,android,
109,India,2025-01-11,web,
110,USA,2025-03-22,android,
111,Australia,2025-01-08,android,
112,Australia,2025-02-04,android,
113,Brazil,2025-02-04,android,
114,USA,2025-02-02,web,A
115,USA,2025-01-05,web,
116,USA,2025-02-10,android,
117,USA,2025-01-28,ios,A
118,Brazil,2025-01-07,ios,
119,Australia,2025-03-14,ios,B
120,Australia,2025-03-13,ios,
121,India,2025-01-12,ios,
122,UK,2025-02-03,web,
123,Australia,2025-02-02,ios,
124,Germany,2025-02-17,web,
125,Brazil,2025-01-23,ios,
126,Brazil,2025-03-03,ios,
127,Australia,2025-03-29,android,
128,Brazil,2025-02-06,android,
129,Germany,2025-02-13,android,
130,USA,2025-03-27,web,
131,Canada,2025-02-04,web,
132,Germany,2025-03-06,android,B
133,Australia,2025-02-16,android,
134,Brazil,2025-03-19,ios,
135,USA,2025-01-03,web,
136,Brazil,2025-01-01,ios,
137,Australia,2025-01-05,ios,
138,UK,2025-03-31,android,
139,India,2025-01-14,ios,
140,India,2025-01-27,ios,
141,Brazil,2025-01-09,android,
142,USA,2025-03-20,android,A
143,UK,2025-01-15,ios,A
144,UK,2025-03-31,ios,B
145,Canada,2025-02-11,ios,B
146,USA,2025-03-18,web,
147,USA,2025-02-20,ios,
148,UK,2025-03-04,android,B
149,India,2025-02-21,ios,
150,India,2025-01-04,web,
151,UK,2025-01-23,ios,
152,Germany,2025-01-15,web,
153,UK,2025-02-12,web,
154,Brazil,2025-01-29,android,
155,Canada,2025-02-05,ios,A
156,Germany,2025-01-13,web,
157,USA,2025-02-01,ios,
158,UK,2025-03-12,web,
159,Australia,2025-02-28,android,
160,UK,2025-03-27,android,
161,Germany,2025-01-28,ios,
162,UK,2025-03-07,ios,
163,Brazil,2025-02-11,ios,B
164,India,2025-02-14,ios,
165,UK,2025-03-03,ios,A
166,India,2025-02-26,web,
167,USA,2025-01-06,ios,
168,USA,2025-01-28,web,B
169,UK,2025-01-28,web,
170,USA,2025-02-13,web,
171,UK,2025-03-25,ios,
172,India,2025-01-30,android,
173,Germany,2025-03-03,android,
174,UK,2025-03-16,ios,
175,Canada,2025-03-30,ios,A
176,Australia,2025-03-03,ios,
177,Germany,2025-01-01,web,
178,India,2025-01-27,android,A
179,India,2025-03-03,android,
180,Australia,2025-03-18,android,
181,Germany,2025-01-03,android,B
182,Canada,2025-03-11,web,
183,UK,2025-03-13,ios,
184,Germany,2025-01-27,web,
185,UK,2025-01-09,ios,
186,Canada,2025-03-03,ios,
187,UK,2025-02-06,android,A
188,Germany,2025-02-20,android,
189,India,2025-02-13,ios,
190,Brazil,2025-01-24,ios,
191,USA,2025-03-20,android,
192,Brazil,2025-02-28,android,
193,India,2025-02-01,android,
194,USA,2025-03-29,android,
195,Australia,2025-02-21,android,
196,Australia,2025-03-03,web,
197,Canada,2025-02-27,web,
198,Canada,2025-02-21,web,
199,Germany,2025-01-12,android,
200,Australia,2025-02-08,ios,
201,Brazil,2025-01-02,ios,
202,UK,2025-01-03,android,
203,India,2025-02-25,web,B
204,India,2025-03-22,ios,
205,Canada,2025-02-28,android,
206,India,2025-01-02,web,
207,Canada,2025-01-02,web,
208,Brazil,2025-02-23,web,
209,UK,2025-03-28,web,
210,Brazil,2025-01-01,web,
211,UK,2025-01-19,web,
212,USA,2025-01-02,web,
213,Germany,2025-02-22,web,
214,Canada,2025-02-13,web,
215,India,2025-03-31,web,A
216,UK,2025-02-01,android,
217,Brazil,2025-03-11,ios,B
218,Canada,2025-02-01,android,
219,Australia,2025-03-09,ios,
220,Canada,2025-02-24,android,
221,Canada,2025-03-16,ios,
222,Brazil,2025-02-25,ios,A
223,India,2025-01-17,ios,
224,India,2025-02-07,android,
225,India,2025-01-24,ios,
226,USA,2025-03-10,web,
227,Germany,2025-03-11,ios,
228,Canada,2025-03-27,android,
229,UK,2025-01-11,android,
230,India,2025-01-16,web,
231,UK,2025-03-14,ios,
232,Brazil,2025-02-28,android,
233,Germany,2025-03-11,ios,B
234,Germany,2025-03-21,web,
235,UK,2025-01-03,web,
236,Australia,2025-01-20,android,
237,Brazil,2025-02-28,ios,
238,Brazil,2025-02-05,web,
239,USA,2025-01-19,web,A
240,Canada,2025-03-31,android,
241,India,2025-03-08,web,
242,Brazil,2025-01-19,android,
243,India,2025-01-20,web,A
244,India,2025-03-12,web,
245,Australia,2025-02-21,android,A
246,Australia,2025-02-02,android,B
247,Australia,2025-02-09,ios,
248,UK,2025-02-08,web,A
249,Canada,2025-03-23,ios,
250,India,2025-01-01,ios,B
251,UK,2025-01-11,android,
252,Australia,2025-02-26,web,
253,Germany,2025-03-30,android,
254,Brazil,2025-02-19,web,
255,Australia,2025-01-23,android,
256,UK,2025-01-31,web,
257,USA,2025-02-11,ios,
258,UK,2025-01-07,web,
259,India,2025-01-16,web,
260,Australia,2025-03-31,android,
261,USA,2025-03-01,web,
262,Canada,2025-01-02,web,A
263,India,2025-01-01,web,
264,USA,2025-02-17,web,
265,UK,2025-01-12,ios,A
266,India,2025-03-10,android,
267,UK,2025-02-06,web,
268,Brazil,2025-02-01,android,
269,Canada,2025-01-09,ios,B
270,USA,2025-01-19,ios,
271,Australia,2025-02-17,web,A
272,Germany,2025-03-21,android,
273,Canada,2025-01-03,android,A
274,Germany,2025-01-20,android,
275,UK,2025-01-24,ios,
276,USA,2025-02-23,ios,
277,USA,2025-02-02,web,
278,UK,2025-01-24,android,
279,Germany,2025-03-16,android,
280,Canada,2025-03-13,ios,
281,Brazil,2025-02-05,web,
282,Canada,2025-02-07,web,
283,Germany,2025-03-25,web,
284,India,2025-03-30,ios,A
285,Germany,2025-01-25,android,
286,India,2025-01-18,web,
287,India,2025-03-23,web,
288,Brazil,2025-03-07,android,
289,Brazil,2025-02-23,web,
290,Canada,2025-02-04,ios,
291,Germany,2025-03-21,web,
292,Canada,2025-03-02,android,
293,Australia,2025-02-10,ios,
294,Australia,2025-02-02,web,
295,UK,2025-03-09,android,
296,Germany,2025-02-02,android,
297,Australia,2025-01-14,android,B
298,Brazil,2025-01-21,android,B
299,Canada,2025-02-17,web,
300,India,2025-01-20,web,
301,Australia,2025-01-08,ios,
302,India,2025-01-07,ios,
303,UK,2025-03-08,android,B
304,Germany,2025-01-17,android,
305,UK,2025-02-02,ios,
306,UK,2025-02-17,web,
307,Germany,2025-03-17,web,B
308,Australia,2025-02-28,web,
309,USA,2025-03-27,android,
310,Germany,2025-01-22,ios,
311,UK,2025-01-30,ios,
312,Canada,2025-02-07,ios,
313,USA,2025-02-20,web,
314,Australia,2025-02-23,ios,A
315,Canada,2025-01-08,ios,
316,UK,2025-01-27,web,
317,UK,2025-01-27,android,
318,Australia,2025-01-21,android,
319,UK,2025-01-30,web,A
320,Canada,2025-01-28,ios,
321,India,2025-03-05,android,
322,Germany,2025-03-10,android,B
323,Brazil,2025-03-02,android,
324,Australia,2025-02-17,web,A
325,Australia,2025-01-19,android,
326,Australia,2025-01-04,ios,
327,India,2025-02-04,web,
328,Germany,2025-03-05,web,
329,India,2025-02-18,android,
330,Germany,2025-01-17,ios,B
331,Australia,2025-02-13,web,
332,USA,2025-01-30,android,B
333,Canada,2025-02-15,ios,
334,Brazil,2025-01-06,ios,B
335,USA,2025-02-06,web,
336,USA,2025-01-24,android,B
337,Germany,2025-02-15,ios,B
338,UK,2025-02-22,web,A
339,Canada,2025-03-01,web,
340,Australia,2025-03-04,web,
341,UK,2025-03-26,web,
342,UK,2025-02-01,web,
343,UK,2025-03-28,ios,
344,Canada,2025-02-02,web,
345,Brazil,2025-03-08,android,
346,USA,2025-01-18,android,
347,India,2025-01-25,ios,
348,Brazil,2025-02-23,web,
349,Australia,2025-02-27,web,A
350,Canada,2025-03-08,ios,
351,Germany,2025-02-15,web,A
352,Brazil,2025-01-24,web,B
353,Brazil,2025-02-01,android,
354,Canada,2025-02-16,web,
355,Germany,2025-03-27,ios,
356,India,2025-01-23,android,A
357,USA,2025-03-07,ios,
358,Australia,2025-01-27,ios,B
359,Brazil,2025-01-02,web,
360,Australia,2025-03-31,web,
361,Germany,2025-01-17,android,
362,Germany,2025-02-02,ios,
363,India,2025-01-09,ios,
364,Australia,2025-02-12,web,B
365,Brazil,2025-02-17,ios,
366,Germany,2025-02-08,ios,
367,Canada,2025-02-11,ios,
368,Australia,2025-01-26,ios,
369,Canada,2025-02-19,ios,
370,India,2025-01-25,android,
371,Australia,2025-01-24,ios,A
372,Australia,2025-01-13,ios,A
373,India,2025-03-01,android,
374,Germany,2025-01-07,web,B
375,Germany,2025-02-26,web,
376,Brazil,2025-02-05,android,
377,Brazil,2025-02-14,android,
378,USA,2025-01-20,web,A
379,Germany,2025-03-06,ios,A
380,Australia,2025-01-08,ios,B
381,UK,2025-01-16,android,
382,Canada,2025-01-14,ios,
383,UK,2025-03-17,android,
384,Canada,2025-03-28,web,
385,USA,2025-01-15,ios,A
386,Germany,2025-03-07,web,
387,India,2025-02-01,ios,
388,Canada,2025-03-28,ios,B
389,Australia,2025-03-04,ios,
390,UK,2025-03-27,android,
391,Brazil,2025-02-20,web,
392,UK,2025-01-25,android,
393,Germany,2025-02-27,android,
394,Canada,2025-03-04,web,
395,UK,2025-03-03,web,A
396,USA,2025-01-22,android,
397,Australia,2025-02-27,android,
398,Australia,2025-02-27,android,
399,Brazil,2025-03-27,web,
400,USA,2025-02-18,android,
401,India,2025-02-21,web,
402,India,2025-02-11,android,
403,India,2025-03-11,web,
404,India,2025-01-15,android,
405,Germany,2025-02-23,ios,A
406,Germany,2025-03-01,ios,
407,Germany,2025-01-08,web,B
408,USA,2025-02-22,web,A
409,USA,2025-03-01,ios,
410,Australia,2025-01-05,web,
411,UK,2025-03-09,web,A
412,Brazil,2025-01-06,ios,
413,USA,2025-02-16,android,
414,UK,2025-02-24,web,
415,India,2025-02-09,web,B
416,India,2025-02-21,android,
417,Australia,2025-01-16,android,
418,USA,2025-01-13,web,
419,Germany,2025-01-30,web,
420,Australia,2025-01-19,android,
421,UK,2025-01-17,web,B
422,Canada,2025-03-04,android,
423,Australia,2025-01-19,android,
424,Brazil,2025-02-27,web,
425,UK,2025-02-24,web,B
426,Germany,2025-03-31,android,B
427,Canada,2025-03-31,web,
428,Germany,2025-03-03,android,
429,USA,2025-01-23,ios,
430,Australia,2025-01-09,ios,
431,Australia,2025-01-12,android,
432,Australia,2025-01-01,android,
433,Germany,2025-02-27,web,
434,Germany,2025-01-01,android,
435,Brazil,2025-02-03,android,
436,Germany,2025-02-17,web,
437,Canada,2025-03-30,web,
438,India,2025-01-01,ios,
439,Germany,2025-01-16,android,
440,India,2025-03-02,android,
441,Brazil,2025-03-05,ios,B
442,Canada,2025-03-04,android,
443,USA,2025-03-10,web,
444,India,2025-01-22,android,
445,USA,2025-03-08,web,
446,Canada,2025-03-17,android,
447,Canada,2025-01-26,ios,
448,Australia,2025-01-16,web,
449,Canada,2025-02-20,web,
450,Canada,2025-03-27,ios,
451,USA,2025-02-26,web,
452,India,2025-01-29,ios,A
453,UK,2025-03-19,android,
454,Germany,2025-03-10,ios,
455,Australia,2025-02-16,android,
456,Brazil,2025-03-03,web,
457,Canada,2025-03-10,web,
458,USA,2025-03-17,ios,
459,UK,2025-01-16,android,
460,USA,2025-03-31,ios,
461,UK,2025-03-31,web,
462,Brazil,2025-02-17,web,
463,Australia,2025-03-26,android,
464,UK,2025-02-08,android,
465,Australia,2025-02-02,web,
466,Australia,2025-01-23,web,
467,Australia,2025-01-10,android,
468,Brazil,2025-03-10,ios,
469,Germany,2025-02-03,ios,
470,Canada,2025-02-21,android,
471,Canada,2025-01-10,android,B
472,Australia,2025-01-19,android,
473,Canada,2025-02-27,web,
474,UK,2025-01-01,ios,
475,Canada,2025-03-10,android,
476,USA,2025-01-04,ios,
477,Germany,2025-01-16,web,
478,USA,2025-01-24,web,
479,USA,2025-03-21,android,
480,Germany,2025-01-02,android,
481,Germany,2025-02-01,android,
482,Brazil,2025-03-25,android,
483,Australia,2025-01-24,ios,B
484,UK,2025-01-12,android,
485,Brazil,2025-02-19,ios,
486,India,2025-02-04,web,
487,India,2025-02-02,web,B
488,Brazil,2025-02-02,ios,
489,Brazil,2025-03-02,ios,
490,UK,2025-02-20,android,
491,Germany,2025-02-12,android,
492,India,2025-01-12,android,
493,Australia,2025-03-08,web,
494,Australia,2025-03-06,ios,A
495,Germany,2025-02-02,ios,
496,USA,2025-02-09,ios,
497,USA,2025-03-15,ios,
498,Germany,2025-02-12,android,
499,USA,2025-02-13,android,
500,India,2025-01-29,ios,
501,India,2025-01-13,android,
502,USA,2025-01-12,web,
503,India,2025-02-15,android,A
504,USA,2025-01-02,web,
505,UK,2025-02-04,web,
506,UK,2025-03-28,ios,
507,Germany,2025-03-22,ios,A
508,Australia,2025-03-31,android,
509,Australia,2025-01-08,ios,
510,USA,2025-01-26,web,
511,UK,2025-03-15,web,
512,UK,2025-03-31,android,B
513,India,2025-02-03,web,
514,Germany,2025-01-07,ios,B
515,Germany,2025-03-09,android,
516,UK,2025-02-27,android,
517,UK,2025-03-16,android,
518,Germany,2025-01-29,ios,
519,Canada,2025-02-05,web,
520,India,2025-03-30,ios,
521,Brazil,2025-01-21,android,
522,India,2025-02-05,web,A
523,Brazil,2025-01-10,android,B
524,Germany,2025-03-14,ios,
525,Germany,2025-01-24,android,
526,Germany,2025-03-05,ios,
527,USA,2025-02-18,android,
528,USA,2025-02-05,android,A
529,USA,2025-03-23,android,
530,Germany,2025-01-24,ios,
531,UK,2025-01-23,ios,
532,Germany,2025-03-03,ios,
533,Brazil,2025-02-06,ios,
534,India,2025-01-12,ios,B
535,Canada,2025-02-24,web,
536,Brazil,2025-01-13,android,
537,Australia,2025-01-23,ios,
538,India,2025-03-30,web,B
539,Australia,2025-01-30,web,
540,Brazil,2025-01-17,android,B
541,India,2025-03-03,android,
542,Canada,2025-03-25,android,
543,UK,2025-03-30,ios,
544,India,2025-03-27,android,
545,Germany,2025-01-13,android,
546,Brazil,2025-02-28,android,
547,USA,2025-01-19,web,
548,Australia,2025-02-18,ios,
549,UK,2025-01-12,android,
550,Canada,2025-03-02,web,
551,Brazil,2025-01-19,ios,
552,UK,2025-03-17,android,B
553,USA,2025-01-09,web,
554,USA,2025-03-12,ios,
555,USA,2025-01-28,android,
556,USA,2025-03-19,android,B
557,USA,2025-02-21,web,
558,Germany,2025-03-24,android,
559,India,2025-01-16,web,A
560,Australia,2025-03-10,web,B
561,USA,2025-01-12,web,
562,Brazil,2025-01-25,ios,A
563,Brazil,2025-02-21,web,
564,USA,2025-03-26,ios,
565,UK,2025-02-22,android,
566,USA,2025-01-23,ios,
567,Canada,2025-01-16,web,
568,Australia,2025-02-26,android,
569,Germany,2025-02-08,web,
570,Canada,2025-02-22,web,
571,India,2025-02-11,android,
572,Brazil,2025-02-27,web,A
573,Australia,2025-02-08,ios,
574,Australia,2025-01-14,android,B
575,USA,2025-01-05,android,
576,India,2025-02-04,android,
577,India,2025-03-28,web,
578,USA,2025-03-16,web,
579,Australia,2025-01-18,android,B
580,India,2025-03-17,ios,
581,Brazil,2025-01-09,web,
582,USA,2025-03-15,web,
583,UK,2025-02-27,web,
584,USA,2025-01-17,ios,
585,Brazil,2025-01-07,web,
586,USA,2025-02-15,web,B
587,USA,2025-01-13,ios,
588,Australia,2025-02-09,ios,
589,USA,2025-02-11,web,
590,Germany,2025-01-09,android,
591,Germany,2025-02-19,android,
592,Brazil,2025-01-27,ios,
593,India,2025-03-07,web,
594,Australia,2025-01-05,ios,
595,USA,2025-01-29,ios,B
596,Australia,2025-02-06,android,
597,USA,2025-02-07,ios,
598,Australia,2025-03-24,ios,A
599,Canada,2025-01-08,web,
600,Germany,2025-03-06,web,
601,UK,2025-03-27,ios,
602,Canada,2025-01-17,ios,A
603,Germany,2025-03-12,web,
604,India,2025-03-30,android,
605,Canada,2025-02-14,web,
606,USA,2025-01-04,web,
607,USA,2025-02-05,web,
608,Australia,2025-03-11,web,
609,Brazil,2025-01-31,web,
610,UK,2025-01-19,android,
611,Brazil,2025-03-02,web,B
612,UK,2025-02-23,web,B
613,Canada,2025-02-08,android,
614,Canada,2025-03-15,ios,
615,UK,2025-03-31,android,
616,Canada,2025-01-19,web,
617,UK,2025-02-08,ios,
618,UK,2025-03-08,android,
619,Brazil,2025-02-14,ios,
620,USA,2025-01-13,android,
621,USA,2025-02-27,android,
622,Canada,2025-01-20,ios,A
623,Australia,2025-03-13,ios,
624,Brazil,2025-03-02,ios,
625,Canada,2025-02-08,ios,
626,Germany,2025-01-01,web,A
627,Australia,2025-01-03,android,
628,Canada,2025-03-18,web,
629,India,2025-03-03,android,B
630,UK,2025-03-04,web,
631,Australia,2025-01-25,web,B
632,Australia,2025-02-25,android,
633,Australia,2025-02-02,web,A
634,Brazil,2025-02-07,ios,
635,UK,2025-01-06,ios,
636,UK,2025-02-27,web,
637,UK,2025-02-13,web,
638,Brazil,2025-02-14,android,
639,USA,2025-02-01,android,
640,Germany,2025-02-14,web,A
641,Germany,2025-03-02,android,
642,Canada,2025-02-16,ios,
643,Brazil,2025-01-21,ios,
644,India,2025-03-21,ios,
645,Germany,2025-03-26,android,
646,Germany,2025-03-16,android,
647,UK,2025-02-05,android,
648,Brazil,2025-01-19,android,
